Date,Open,High,Low,Close,Adj Close,Volume
2015-02-17,34.400002,34.750000,34.259998,34.740002,30.283894,19374100
2015-02-18,34.650002,34.709999,34.189999,34.270000,29.874172,19992900
2015-02-19,34.250000,34.419998,34.049999,34.209999,29.821867,11017500
2015-02-20,34.150002,34.570000,33.910000,34.410000,29.996220,20955600
2015-02-23,34.400002,34.500000,33.580002,33.759998,29.429596,25565500
2015-02-24,33.610001,34.490002,33.509998,34.410000,29.996220,29607500
2015-02-25,34.029999,34.150002,33.730000,33.950001,29.595228,24686300
2015-02-26,33.619999,33.880001,33.430000,33.650002,29.333708,25928400
2015-02-27,33.630001,33.639999,33.209999,33.250000,28.985012,24427300
2015-03-02,33.290001,34.130001,33.119999,34.060001,29.691116,25406400
2015-03-03,33.950001,34.380001,33.910000,34.099998,29.725975,27332000
2015-03-04,33.860001,34.410000,33.720001,34.119999,29.743418,23005800
2015-03-05,34.259998,34.500000,33.590000,33.730000,29.403442,21225800
2015-03-06,33.540001,33.680000,33.080002,33.189999,28.932711,32373100
2015-03-09,33.200001,33.270000,32.480000,32.720001,28.523003,33058800
2015-03-10,32.240002,32.410000,31.500000,31.700001,27.633833,50278900
2015-03-11,31.969999,32.959999,31.950001,32.330002,28.183025,49683600
2015-03-12,31.010000,31.600000,30.580000,30.799999,26.849274,107402400
2015-03-13,30.629999,30.980000,30.360001,30.930000,26.962603,47954700
2015-03-16,30.930000,31.110001,30.650000,30.830000,26.875427,33074600
2015-03-17,30.580000,30.730000,30.410000,30.590000,26.666214,29215600
2015-03-18,30.410000,31.200001,30.299999,30.889999,26.927727,39834100
2015-03-19,30.780001,31.100000,30.690001,30.740000,26.796972,27414200
2015-03-20,30.990000,31.620001,30.930000,31.309999,27.293856,64777100
2015-03-23,31.290001,31.790001,31.200001,31.200001,27.197966,29694000
2015-03-24,31.160000,31.320000,30.740000,30.790001,26.840555,28471400
2015-03-25,30.809999,30.889999,29.860001,29.889999,26.056000,37691000
2015-03-26,29.500000,30.400000,29.309999,30.080000,26.221628,45450100
2015-03-27,30.010000,33.000000,29.850000,32.000000,27.895350,73857200
2015-03-30,31.660000,32.099998,31.299999,31.459999,27.424616,51391500
2015-03-31,31.430000,31.930000,31.200001,31.270000,27.258987,32098500
2015-04-01,31.129999,31.320000,30.650000,30.809999,26.857990,31532100
2015-04-02,30.799999,31.230000,30.670000,30.809999,26.857990,20909600
2015-04-06,30.809999,31.250000,30.450001,31.040001,27.058489,21490900
2015-04-07,31.070000,31.590000,31.000000,31.260000,27.250273,23258300
2015-04-08,31.230000,31.559999,31.059999,31.309999,27.293856,18250300
2015-04-09,30.680000,31.620001,30.570000,31.240000,27.232836,34167600
2015-04-10,31.330000,31.940001,31.330000,31.930000,27.834330,28084900
2015-04-13,31.809999,32.049999,31.709999,31.730000,27.659983,23489000
2015-04-14,31.680000,31.940001,31.270000,31.490000,27.450768,39754000
2015-04-15,32.259998,32.990002,32.070000,32.830002,28.618881,61083500
