Date,Open,High,Low,Close,Adj Close,Volume
2015-02-19,134.500000,135.490005,134.380005,135.279999,115.486664,218600
2015-02-20,135.940002,136.990005,135.860001,136.899994,116.869629,239800
2015-02-23,136.899994,137.199997,136.410004,136.979996,116.937927,199800
2015-02-24,137.600006,138.699997,137.240005,138.339996,118.098938,335000
2015-02-25,136.800003,137.139999,136.389999,136.869995,116.844025,236800
2015-02-26,136.880005,137.460007,136.630005,136.800003,116.784264,258000
2015-02-27,135.350006,135.800003,135.350006,135.369995,115.563507,219900
2015-03-02,135.250000,136.000000,135.250000,135.869995,115.990349,254500
2015-03-03,135.369995,135.839996,135.070007,135.399994,115.589104,208000
2015-03-04,135.399994,135.589996,134.399994,135.520004,115.691559,205500
2015-03-05,134.960007,135.419998,134.649994,134.899994,115.162262,232900
2015-03-06,135.320007,135.979996,134.699997,134.889999,115.153725,184700
2015-03-09,135.500000,135.649994,134.940002,135.389999,115.580582,174100
2015-03-10,134.149994,134.380005,133.600006,133.690002,114.129311,220900
2015-03-11,134.199997,134.449997,133.830002,134.000000,114.393951,222700
2015-03-12,136.169998,137.669998,136.169998,137.529999,117.407463,313200
2015-03-13,135.860001,136.380005,135.460007,136.169998,116.246452,393200
2015-03-16,137.360001,138.139999,137.160004,137.520004,117.398933,271000
2015-03-17,137.089996,137.369995,136.600006,136.960007,116.920868,816400
2015-03-18,139.100006,140.259995,138.490005,140.080002,119.584373,457900
2015-03-19,140.139999,140.589996,139.649994,140.100006,119.601448,310600
2015-03-20,142.639999,143.500000,142.529999,143.089996,122.153961,406900
2015-03-23,145.330002,145.800003,144.949997,145.320007,124.057693,480700
2015-03-24,145.229996,145.229996,144.399994,144.520004,123.374741,303700
2015-03-25,145.250000,145.250000,143.779999,143.809998,122.768608,328600
2015-03-26,143.000000,143.660004,142.710007,143.110001,122.171043,324400
2015-03-27,142.339996,142.509995,141.720001,142.399994,123.298286,238100
2015-03-30,141.669998,142.940002,141.380005,142.550003,123.428185,484100
2015-03-31,140.880005,140.940002,139.710007,139.889999,121.124985,555100
2015-04-01,138.330002,138.660004,137.770004,138.479996,119.904121,358900
2015-04-02,139.830002,140.899994,139.630005,140.020004,121.237564,249000
2015-04-06,140.000000,141.210007,140.000000,140.639999,121.774406,157800
2015-04-07,140.100006,140.639999,139.649994,139.720001,120.977806,260800
2015-04-08,139.860001,140.369995,139.539993,139.940002,121.168289,142100
2015-04-09,139.100006,140.119995,139.000000,139.910004,121.142326,276700
2015-04-10,138.710007,139.820007,138.660004,139.649994,120.917183,320300
2015-04-13,137.669998,138.000000,137.199997,137.559998,119.107536,320200
2015-04-14,138.690002,138.979996,138.130005,138.660004,120.060005,171600
2015-04-15,139.229996,139.380005,138.679993,139.080002,120.423653,177600
2015-04-16,139.179993,139.500000,138.789993,138.979996,120.337059,186500
2015-04-17,138.990005,139.029999,138.000000,138.429993,119.860847,253900
2015-04-20,138.740005,139.339996,138.639999,138.729996,120.120605,151600
2015-04-21,141.369995,141.899994,141.279999,141.330002,122.371841,365800
2015-04-22,141.470001,141.889999,141.169998,141.660004,122.657578,163600
2015-04-23,141.160004,141.279999,140.619995,141.029999,122.112076,393000
2015-04-24,141.259995,141.470001,140.979996,141.210007,122.267937,277500
2015-04-27,140.960007,141.250000,140.550003,140.660004,121.791710,273000
2015-04-28,142.179993,142.839996,141.600006,142.059998,123.003906,421900
2015-04-29,141.330002,142.470001,140.070007,140.789993,121.904259,282900
2015-04-30,140.000000,140.320007,138.710007,139.020004,120.371689,246800
2015-05-01,138.750000,139.960007,138.720001,139.960007,121.185600,247100
2015-05-04,139.789993,140.429993,139.580002,140.059998,121.272194,172000
2015-05-05,139.460007,139.800003,137.449997,137.550003,119.098900,266100
2015-05-06,137.320007,137.990005,136.500000,137.160004,118.761208,322500
2015-05-07,136.860001,138.059998,136.839996,137.919998,119.419243,208500
2015-05-08,139.500000,142.339996,139.369995,142.119995,123.055855,319400
2015-05-11,137.880005,138.360001,137.419998,137.449997,119.012291,756700
2015-05-12,137.509995,138.050003,137.000000,137.660004,119.194138,579400
2015-05-13,137.350006,137.940002,136.520004,136.619995,118.293648,359700
2015-05-14,137.729996,137.990005,136.960007,137.949997,119.445221,150400
2015-05-15,138.649994,139.389999,138.649994,139.369995,120.674751,177700
2015-05-18,139.389999,139.490005,139.149994,139.429993,120.726677,141300
2015-05-19,139.850006,140.240005,139.279999,139.529999,120.813301,223700
2015-05-20,139.199997,139.649994,138.770004,139.009995,120.363022,121000
2015-05-21,138.779999,139.550003,138.779999,139.440002,120.735359,141900
2015-05-22,137.979996,138.660004,137.910004,138.220001,119.679024,202800
2015-05-26,138.470001,138.470001,137.139999,137.699997,119.228767,293200
2015-05-27,138.720001,139.000000,138.309998,138.770004,120.155235,247000
2015-05-28,138.850006,139.960007,138.820007,139.740005,120.995125,220000
2015-05-29,138.740005,138.740005,137.509995,137.889999,119.393280,310600
2015-06-01,137.800003,137.979996,136.809998,137.240005,118.830482,280100
2015-06-02,136.740005,137.149994,136.470001,136.570007,118.250351,275900
2015-06-03,137.509995,137.880005,137.000000,137.440002,119.003639,240300
2015-06-04,136.929993,137.529999,136.630005,136.850006,118.492790,231000
2015-06-05,135.990005,135.990005,135.259995,135.509995,117.332527,167200
2015-06-08,133.580002,133.899994,132.619995,133.149994,115.289093,304900
2015-06-09,132.500000,132.740005,131.919998,132.300003,114.553139,236300
2015-06-10,133.839996,134.589996,133.729996,134.240005,116.232887,166200
2015-06-11,135.240005,135.509995,134.899994,135.179993,117.046791,152600
2015-06-12,135.449997,135.869995,135.089996,135.490005,117.315208,191400
2015-06-15,135.199997,135.830002,135.169998,135.509995,117.332527,292700
2015-06-16,135.699997,136.169998,135.509995,136.059998,117.808762,179200
2015-06-17,134.309998,135.089996,133.750000,134.869995,116.778374,344900
2015-06-18,133.500000,134.850006,133.500000,134.479996,116.440712,246300
2015-06-19,134.479996,134.619995,133.940002,134.020004,116.042419,179800
2015-06-22,135.160004,136.350006,135.160004,135.479996,117.306564,263100
2015-06-23,136.949997,137.250000,136.789993,137.100006,118.709236,270500
2015-06-24,136.009995,136.009995,135.330002,135.399994,117.237282,149000
2015-06-25,135.350006,135.509995,134.850006,134.869995,116.778374,180800
